min_gap_days,holding_days,n_independent_events,mean,ci_lo,ci_hi,perm_p
1,1,79,-0.0004977753957751354,-0.007771323503499638,0.006458391387012822,1.0
1,3,79,0.0017711228744909948,-0.009327518220643179,0.013166089383003024,0.568
1,5,79,0.004228242110747821,-0.010177418046938636,0.01731211162618558,0.332
1,10,79,0.0029779657785918338,-0.015825958402826832,0.02091547813181298,0.9365
3,1,59,-0.002870685774019537,-0.008898007171785871,0.003134717802512737,0.1235
3,3,59,0.002053657679843359,-0.00984620869758555,0.01322188624428146,0.562
3,5,59,0.0031377991486312077,-0.010146237404513578,0.01661127982273311,0.5915
3,10,59,0.0008312676074811237,-0.021538475361529977,0.022171461653521535,0.655
5,1,48,-0.0027622999594049285,-0.008885168372838216,0.0032106346284818945,0.1815
5,3,48,0.00661615984384271,-0.003017873059196783,0.017240797781871476,0.052
5,5,48,0.01051992270424987,-0.004329179080870112,0.024163263031653538,0.024
5,10,48,0.009224293210296282,-0.014765503002453252,0.030992611227548948,0.3015
