threshold,holding_days,n_events_all,mean_all,ci_lo_all,ci_hi_all,perm_p_all,n_events_indep,mean_indep,ci_lo_indep,ci_hi_indep,perm_p_indep,baseline_mean
-0.015,1,352,-0.00020767527129980488,-0.002332831271243849,0.0019430928470906665,0.678,242,-0.00025504087478376403,-0.0021429520015903702,0.0016662117919756954,0.748,-0.000497734872627912
-0.015,3,352,0.0019918723428765705,-0.0016586817000082703,0.005494968541204968,0.1915,242,0.0008410448232418669,-0.003171188348661027,0.004574106950288036,0.743,0.0003653978003561189
-0.015,5,352,0.003025651968991269,-0.0018536213362019582,0.008046420252320344,0.2915,242,0.0006743101729463114,-0.0037584733627152376,0.005344699296035219,0.767,0.0012128952234523075
-0.015,10,352,0.00478117179911015,-0.002062976280389604,0.011243709348049422,0.5225,242,0.0038509440097432876,-0.0032383358453900828,0.01078359633167598,0.835,0.0032893924732913444
-0.02,1,200,-0.00038041354381887103,-0.003756632020296023,0.003011905299291865,0.909,145,-0.0005017501029411304,-0.0034091138063096537,0.002290014496684695,0.995,-0.000497734872627912
-0.02,3,200,0.0012167701503379147,-0.004219870965945936,0.006969070350998562,0.6145,145,0.0008626970392784027,-0.005200413089805244,0.006571682036770335,0.7915,0.0003653978003561189
-0.02,5,200,0.0015858143418253751,-0.005982828083271353,0.009169138162793236,0.861,145,0.0001971149643378224,-0.007036612849565214,0.0072647092867343934,0.681,0.0012128952234523075
-0.02,10,200,0.004385306513421231,-0.005330947636574596,0.013773196491601651,0.717,145,0.006396746993678333,-0.004808993797322778,0.017306817818868725,0.3455,0.0032893924732913444
-0.025,1,117,0.00014370272487198253,-0.004982967723139317,0.005083899517491615,0.5775,85,-0.0009401511860217354,-0.005358497613842798,0.003357727699462248,0.721,-0.000497734872627912
-0.025,3,117,0.002775347714803358,-0.005518814201467332,0.01129372921156253,0.243,85,0.0028784477765233024,-0.005674364838967563,0.011804358116268053,0.29,0.0003653978003561189
-0.025,5,117,0.005493609742527324,-0.005329370131410414,0.016118564923597256,0.13,85,0.005352845237546786,-0.004657334342090078,0.01546552643182009,0.1905,0.0012128952234523075
-0.025,10,117,0.011752099877115212,-0.002604912299728086,0.02611514198312566,0.0295,85,0.012935300231144803,-0.003482285352514701,0.02874379550434468,0.0285,0.0032893924732913444
-0.03,1,79,-0.0004977753957751354,-0.007406470377597161,0.0066970060177658445,1.0,59,-0.002870685774019537,-0.009081210602978377,0.0030869233149760336,0.1265,-0.000497734872627912
-0.03,3,79,0.0017711228744909948,-0.009133020732053352,0.012542850981602011,0.59,59,0.002053657679843359,-0.00923203699185456,0.01332857799980079,0.5695,0.0003653978003561189
-0.03,5,79,0.004228242110747821,-0.010507729642317257,0.01815344311502638,0.365,59,0.0031377991486312077,-0.010558169073852415,0.01684185670996166,0.615,0.0012128952234523075
-0.03,10,79,0.0029779657785918338,-0.015640046788947815,0.020181306943312684,0.952,59,0.0008312676074811237,-0.021874305723664604,0.023682854869118468,0.6435,0.0032893924732913444
-0.035,1,50,-0.004715338067070098,-0.014325722437429413,0.005512206821854576,0.0215,37,-0.005935570943492027,-0.014029641908063129,0.0016964879631652793,0.0085,-0.000497734872627912
-0.035,3,50,-0.003939762926689912,-0.02013840114271877,0.010523386147368337,0.1865,37,-0.007626112540365949,-0.024804581109551284,0.009106113614493802,0.024,0.0003653978003561189
-0.035,5,50,0.0037543766987557215,-0.015800110204827546,0.022615636981705305,0.52,37,-0.0015093331455605893,-0.018691805365778438,0.016941331534283007,0.5505,0.0012128952234523075
-0.035,10,50,6.493122319634059e-05,-0.026263690074201537,0.02313536490618341,0.571,37,-0.011870947458854164,-0.041224277533554184,0.01603256869207712,0.0215,0.0032893924732913444
-0.04,1,37,-0.0008450117908398807,-0.009873478337220527,0.009646999009294645,0.8445,29,-0.004414978930603964,-0.012833093025320435,0.0039047286666407683,0.0795,-0.000497734872627912
-0.04,3,37,-0.0032969892657962944,-0.02119338504062316,0.015451467088260182,0.324,29,-0.007175154609956707,-0.026785894391227194,0.011897097270364703,0.0695,0.0003653978003561189
-0.04,5,37,-0.0009263423206081815,-0.026604827705249707,0.024568620947982,0.635,29,-0.002133143395009822,-0.024254694118458084,0.01829163604758843,0.517,0.0012128952234523075
-0.04,10,37,-0.0025453198776869946,-0.033084049788010245,0.025674590626923125,0.383,29,-0.01213138795787711,-0.046068766842645346,0.021302353361029928,0.0385,0.0032893924732913444
-0.05,1,22,0.0013812411443116664,-0.012949395070179432,0.017074825948178315,0.431,16,-0.00037221969554776524,-0.017972813148714177,0.018781090203333226,0.968,-0.000497734872627912
-0.05,3,22,-0.013011108999327024,-0.04321633709533971,0.01522532485001334,0.012,16,-0.021302134759187193,-0.05255027748111795,0.008486618110196258,0.0015,0.0003653978003561189
-0.05,5,22,-0.014326058941505172,-0.05022125370175558,0.022637312946468452,0.018,16,-0.02244890928950876,-0.04811373077876896,0.003954296602776416,0.003,0.0012128952234523075
-0.05,10,22,-0.010156249031892505,-0.04601076265634636,0.025651188251253752,0.1235,16,-0.02859210302461248,-0.07166632309288729,0.012856484587877746,0.0025,0.0032893924732913444
